timestamp,open,high,low,close,volume
4/4/2019 16:00,396.42,397,395.93,395.98,670413
4/4/2019 15:45,396.43,396.8992,395.61,396.45,310247
4/4/2019 15:30,396.2374,396.57,395.79,396.21,186175
4/4/2019 15:15,396.68,396.86,395.85,396.19,222259
4/4/2019 15:00,395.92,396.91,395.7365,396.6304,297840
4/4/2019 14:45,395.6304,396.12,394.8485,395.9,194693
4/4/2019 14:30,394.8385,395.94,394.78,395.61,160634
4/4/2019 14:15,394.5,394.96,394.05,394.8498,105294
4/4/2019 14:00,393.95,394.7699,393.95,394.3771,114996
4/4/2019 13:45,394.2683,394.4524,393.66,393.91,114310
4/4/2019 13:30,394.21,394.565,393.7406,394.32,176046
4/4/2019 13:15,394.785,394.8,393.74,394.1367,188555
4/4/2019 13:00,395.17,395.65,394.6405,394.7814,212462
4/4/2019 12:45,395.1,395.74,394.95,395.25,135883
4/4/2019 12:30,395.85,395.94,394.95,395.2913,142844
4/4/2019 12:15,394.99,396.15,394.99,395.7,138711
4/4/2019 12:00,396.26,396.52,394.5,394.9085,273969
4/4/2019 11:45,396.67,397.04,395.75,396.17,297821
4/4/2019 11:30,395.11,397,394.805,396.82,345058
4/4/2019 11:15,395.83,396.41,394.9,395.055,351867
4/4/2019 11:00,393.7,396.25,393.7,395.7314,564150
4/4/2019 10:45,394.9,395.13,392.8,393.57,506102
4/4/2019 10:30,394.4894,395,393.725,394.915,333152
4/4/2019 10:15,392.465,395.035,392.44,394.5,621047
4/4/2019 10:00,393,393.93,391.27,392.3665,607931
4/4/2019 9:45,385.5,395.85,385.13,392.93,1696005
4/3/2019 16:00,385.3,385.445,384.43,384.82,453782
4/3/2019 15:45,385.31,385.655,385.09,385.29,218031
4/3/2019 15:30,385.01,385.38,384.42,385.33,305836
4/3/2019 15:15,385.41,385.71,385.01,385.01,157252
4/3/2019 15:00,384.88,385.8661,384.88,385.33,184480
4/3/2019 14:45,385.6,385.6,384.66,384.893,155976
4/3/2019 14:30,384.74,385.915,384.74,385.605,184604
4/3/2019 14:15,385,385.12,384.2,384.71,218278
4/3/2019 14:00,385.705,385.7314,384.86,385,330198
4/3/2019 13:45,386.3,386.53,385.57,385.735,204881
4/3/2019 13:30,386.43,386.53,386,386.31,121904
4/3/2019 13:15,386.45,386.55,386.17,386.42,145490
4/3/2019 13:00,386.0801,386.42,385.76,386.4,131429
4/3/2019 12:45,386.26,386.35,385.91,386.106,120105
4/3/2019 12:30,386.38,386.48,386.1659,386.2852,80271
4/3/2019 12:15,386.54,386.8,386.06,386.4107,163671
4/3/2019 12:00,385.725,386.78,385.68,386.6079,133761
4/3/2019 11:45,385.83,386.49,385.57,385.75,166224
4/3/2019 11:30,385.86,386.42,385.6,385.803,185469
4/3/2019 11:15,386.75,386.8,385.75,385.89,175176
4/3/2019 11:00,386.7,386.88,384.91,386.75,319922
4/3/2019 10:45,386.54,386.85,386.1,386.5259,275979
4/3/2019 10:30,386.915,387.55,386.49,386.6751,267854
4/3/2019 10:15,385.87,387.26,384.09,386.81,670885
4/3/2019 10:00,389.15,389.325,385.12,386.1184,691907
4/3/2019 9:45,389,391.4001,388.09,389.05,561696
4/2/2019 16:00,391.23,391.4852,390.14,390.68,495239
4/2/2019 15:45,391.15,391.61,391.11,391.36,223994
4/2/2019 15:30,391.32,391.33,390.3608,391.1721,209791
4/2/2019 15:15,391.18,391.555,391.02,391.29,157305
4/2/2019 15:00,390.75,391.2175,390.61,391.14,198063
4/2/2019 14:45,390.22,391.1,390.15,390.76,158042
4/2/2019 14:30,390.52,390.6296,389.51,390.2,245762
4/2/2019 14:15,390.37,390.569,389.61,390.45,155758
4/2/2019 14:00,390.875,390.9,390.0747,390.3,133313
4/2/2019 13:45,390.96,391.1652,390.39,390.82,123451
4/2/2019 13:30,391.5,391.705,390.9,390.935,116148
4/2/2019 13:15,391.12,391.71,390.9,391.49,172953
4/2/2019 13:00,391.119,391.37,390.81,391.17,88781
4/2/2019 12:45,391.285,391.5,391,391.19,139629
4/2/2019 12:30,391.25,391.51,390.71,391.29,218683
4/2/2019 12:15,392.23,392.5,391.25,391.25,153029
4/2/2019 12:00,392.3006,392.8282,392.0032,392.21,220045
